role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Let me start off by saying that I’m an engineer-by-trade, outdoorswoman-at-heart.","Let me start off by saying that I’m an engineer-by-trade, [ROLE NOUN]-at-heart."
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","It’s taken me years of research, practice and mistakes to become the outdoorsperson I am today.","It’s taken me years of research, practice and mistakes to become the [ROLE NOUN] I am today."
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","It’s taken me years of research, practice and mistakes to become the outdoorsman I am today.","It’s taken me years of research, practice and mistakes to become the [ROLE NOUN] I am today."
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","It’s taken me years of research, practice and mistakes to become the outdoorswoman I am today.","It’s taken me years of research, practice and mistakes to become the [ROLE NOUN] I am today."
outdoorsperson,neutral,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Beyond music and academics, I am also a dedicated outdoorsperson and environmentalist.","Beyond music and academics, I am also a dedicated [ROLE NOUN] and environmentalist."
outdoorsman,masculine,masculine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Beyond music and academics, I am also a dedicated outdoorsman and environmentalist.","Beyond music and academics, I am also a dedicated [ROLE NOUN] and environmentalist."
outdoorswoman,feminine,masculine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Beyond music and academics, I am also a dedicated outdoorswoman and environmentalist.","Beyond music and academics, I am also a dedicated [ROLE NOUN] and environmentalist."
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I admit to being a fair weather outdoorsperson most of the time.,I admit to being a fair weather [ROLE NOUN] most of the time.
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I admit to being a fair weather outdoorsman most of the time.,I admit to being a fair weather [ROLE NOUN] most of the time.
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I admit to being a fair weather outdoorswoman most of the time.,I admit to being a fair weather [ROLE NOUN] most of the time.
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","So as an avid outdoorsperson, why wouldn't I want my children to have the greatest classroom experiences available!","So as an avid [ROLE NOUN], why wouldn't I want my children to have the greatest classroom experiences available!"
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","So as an avid outdoorsman, why wouldn't I want my children to have the greatest classroom experiences available!","So as an avid [ROLE NOUN], why wouldn't I want my children to have the greatest classroom experiences available!"
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","So as an avid outdoorswoman, why wouldn't I want my children to have the greatest classroom experiences available!","So as an avid [ROLE NOUN], why wouldn't I want my children to have the greatest classroom experiences available!"
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m a runner, a yogi, a outdoorsperson, and a cyclist.","I’m a runner, a yogi, a [ROLE NOUN], and a cyclist."
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m a runner, a yogi, a outdoorsman, and a cyclist.","I’m a runner, a yogi, a [ROLE NOUN], and a cyclist."
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m a runner, a yogi, a outdoorswoman, and a cyclist.","I’m a runner, a yogi, a [ROLE NOUN], and a cyclist."
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","At various points in my life I've been an avid outdoorsperson, a puzzle hunt geek, a board game aficionado, and a keen creative writer.","At various points in my life I've been an avid [ROLE NOUN], a puzzle hunt geek, a board game aficionado, and a keen creative writer."
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","At various points in my life I've been an avid outdoorsman, a puzzle hunt geek, a board game aficionado, and a keen creative writer.","At various points in my life I've been an avid [ROLE NOUN], a puzzle hunt geek, a board game aficionado, and a keen creative writer."
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","At various points in my life I've been an avid outdoorswoman, a puzzle hunt geek, a board game aficionado, and a keen creative writer.","At various points in my life I've been an avid [ROLE NOUN], a puzzle hunt geek, a board game aficionado, and a keen creative writer."
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid outdoorsperson, with my adoration residing in the backcountry; backpacking, back country and downhill skiing, fly fishing, trekking and mountaineering to name a few.","I am an avid [ROLE NOUN], with my adoration residing in the backcountry; backpacking, back country and downhill skiing, fly fishing, trekking and mountaineering to name a few."
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid outdoorsman, with my adoration residing in the backcountry; backpacking, back country and downhill skiing, fly fishing, trekking and mountaineering to name a few.","I am an avid [ROLE NOUN], with my adoration residing in the backcountry; backpacking, back country and downhill skiing, fly fishing, trekking and mountaineering to name a few."
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I am an avid outdoorswoman, with my adoration residing in the backcountry; backpacking, back country and downhill skiing, fly fishing, trekking and mountaineering to name a few.","I am an avid [ROLE NOUN], with my adoration residing in the backcountry; backpacking, back country and downhill skiing, fly fishing, trekking and mountaineering to name a few."
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Therefore, if you want to read my blogs more often, you can be sure that you cannot be sure that I will publish on a regular basis. 😉 Furthermore, I am an outdoorsperson who engages in all manners of sports.","Therefore, if you want to read my blogs more often, you can be sure that you cannot be sure that I will publish on a regular basis. 😉 Furthermore, I am an [ROLE NOUN] who engages in all manners of sports."
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Therefore, if you want to read my blogs more often, you can be sure that you cannot be sure that I will publish on a regular basis. 😉 Furthermore, I am an outdoorsman who engages in all manners of sports.","Therefore, if you want to read my blogs more often, you can be sure that you cannot be sure that I will publish on a regular basis. 😉 Furthermore, I am an [ROLE NOUN] who engages in all manners of sports."
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","Therefore, if you want to read my blogs more often, you can be sure that you cannot be sure that I will publish on a regular basis. 😉 Furthermore, I am an outdoorswoman who engages in all manners of sports.","Therefore, if you want to read my blogs more often, you can be sure that you cannot be sure that I will publish on a regular basis. 😉 Furthermore, I am an [ROLE NOUN] who engages in all manners of sports."
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","While I like to think I’m a natural outdoorsperson, the reality is that the grit and grime of the outdoors stretches me outside my comfort zone (which is why I enter the wilderness with a ready supply of insta-lattes).","While I like to think I’m a natural [ROLE NOUN], the reality is that the grit and grime of the outdoors stretches me outside my comfort zone (which is why I enter the wilderness with a ready supply of insta-lattes)."
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","While I like to think I’m a natural outdoorsman, the reality is that the grit and grime of the outdoors stretches me outside my comfort zone (which is why I enter the wilderness with a ready supply of insta-lattes).","While I like to think I’m a natural [ROLE NOUN], the reality is that the grit and grime of the outdoors stretches me outside my comfort zone (which is why I enter the wilderness with a ready supply of insta-lattes)."
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","While I like to think I’m a natural outdoorswoman, the reality is that the grit and grime of the outdoors stretches me outside my comfort zone (which is why I enter the wilderness with a ready supply of insta-lattes).","While I like to think I’m a natural [ROLE NOUN], the reality is that the grit and grime of the outdoors stretches me outside my comfort zone (which is why I enter the wilderness with a ready supply of insta-lattes)."
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsperson and a life-long creative.,I am an avid [ROLE NOUN] and a life-long creative.
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsman and a life-long creative.,I am an avid [ROLE NOUN] and a life-long creative.
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorswoman and a life-long creative.,I am an avid [ROLE NOUN] and a life-long creative.
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m a blogger, professional, parent, and outdoorsperson.","I’m a blogger, professional, parent, and [ROLE NOUN]."
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m a blogger, professional, parent, and outdoorsman.","I’m a blogger, professional, parent, and [ROLE NOUN]."
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']","I’m a blogger, professional, parent, and outdoorswoman.","I’m a blogger, professional, parent, and [ROLE NOUN]."
outdoorsperson,neutral,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsperson and my inspiration comes from nature.,I am an avid [ROLE NOUN] and my inspiration comes from nature.
outdoorsman,masculine,feminine,True,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorsman and my inspiration comes from nature.,I am an avid [ROLE NOUN] and my inspiration comes from nature.
outdoorswoman,feminine,feminine,False,"['outdoorsperson', 'outdoorsman', 'outdoorswoman']",I am an avid outdoorswoman and my inspiration comes from nature.,I am an avid [ROLE NOUN] and my inspiration comes from nature.
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']",My vocation was to be a firefighter and training was never easy.,My vocation was to be a [ROLE NOUN] and training was never easy.
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']",My vocation was to be a fireman and training was never easy.,My vocation was to be a [ROLE NOUN] and training was never easy.
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']",My vocation was to be a firewoman and training was never easy.,My vocation was to be a [ROLE NOUN] and training was never easy.
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']","As a career firefighter, the same passion I’ve applied to my profession goes directly into my passion for creating cakes.","As a career [ROLE NOUN], the same passion I’ve applied to my profession goes directly into my passion for creating cakes."
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']","As a career fireman, the same passion I’ve applied to my profession goes directly into my passion for creating cakes.","As a career [ROLE NOUN], the same passion I’ve applied to my profession goes directly into my passion for creating cakes."
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']","As a career firewoman, the same passion I’ve applied to my profession goes directly into my passion for creating cakes.","As a career [ROLE NOUN], the same passion I’ve applied to my profession goes directly into my passion for creating cakes."
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']",I am personally a retired firefighter with 27 years of experience.,I am personally a retired [ROLE NOUN] with 27 years of experience.
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']",I am personally a retired fireman with 27 years of experience.,I am personally a retired [ROLE NOUN] with 27 years of experience.
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']",I am personally a retired firewoman with 27 years of experience.,I am personally a retired [ROLE NOUN] with 27 years of experience.
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']","Fun fact about me, I used to be a volunteer firefighter.","Fun fact about me, I used to be a volunteer [ROLE NOUN]."
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']","Fun fact about me, I used to be a volunteer fireman.","Fun fact about me, I used to be a volunteer [ROLE NOUN]."
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']","Fun fact about me, I used to be a volunteer firewoman.","Fun fact about me, I used to be a volunteer [ROLE NOUN]."
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']",Electronics and communications equipment put me smack in the middle of public safety as a volunteer firefighter.,Electronics and communications equipment put me smack in the middle of public safety as a volunteer [ROLE NOUN].
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']",Electronics and communications equipment put me smack in the middle of public safety as a volunteer fireman.,Electronics and communications equipment put me smack in the middle of public safety as a volunteer [ROLE NOUN].
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']",Electronics and communications equipment put me smack in the middle of public safety as a volunteer firewoman.,Electronics and communications equipment put me smack in the middle of public safety as a volunteer [ROLE NOUN].
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']","Other careers I debated about from a young age, included firefighter, farmer, and chef.","Other careers I debated about from a young age, included [ROLE NOUN], farmer, and chef."
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']","Other careers I debated about from a young age, included fireman, farmer, and chef.","Other careers I debated about from a young age, included [ROLE NOUN], farmer, and chef."
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']","Other careers I debated about from a young age, included firewoman, farmer, and chef.","Other careers I debated about from a young age, included [ROLE NOUN], farmer, and chef."
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']","I am also a firefighter, which encourages me to live by the same principles I teach my athletes.","I am also a [ROLE NOUN], which encourages me to live by the same principles I teach my athletes."
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']","I am also a fireman, which encourages me to live by the same principles I teach my athletes.","I am also a [ROLE NOUN], which encourages me to live by the same principles I teach my athletes."
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']","I am also a firewoman, which encourages me to live by the same principles I teach my athletes.","I am also a [ROLE NOUN], which encourages me to live by the same principles I teach my athletes."
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']",You would think being a firefighter I would be in great shape!,You would think being a [ROLE NOUN] I would be in great shape!
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']",You would think being a fireman I would be in great shape!,You would think being a [ROLE NOUN] I would be in great shape!
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']",You would think being a firewoman I would be in great shape!,You would think being a [ROLE NOUN] I would be in great shape!
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']",I absolutely love my Town and also proud to serve my community as an on call firefighter.,I absolutely love my Town and also proud to serve my community as an on call [ROLE NOUN].
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']",I absolutely love my Town and also proud to serve my community as an on call fireman.,I absolutely love my Town and also proud to serve my community as an on call [ROLE NOUN].
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']",I absolutely love my Town and also proud to serve my community as an on call firewoman.,I absolutely love my Town and also proud to serve my community as an on call [ROLE NOUN].
firefighter,neutral,neutral,False,"['firefighter', 'fireman', 'firewoman']",This evolvement can be seen in the images I now capture while on the fire line as a wildfire firefighter.,This evolvement can be seen in the images I now capture while on the fire line as a wildfire [ROLE NOUN].
fireman,masculine,neutral,True,"['firefighter', 'fireman', 'firewoman']",This evolvement can be seen in the images I now capture while on the fire line as a wildfire fireman.,This evolvement can be seen in the images I now capture while on the fire line as a wildfire [ROLE NOUN].
firewoman,feminine,neutral,True,"['firefighter', 'fireman', 'firewoman']",This evolvement can be seen in the images I now capture while on the fire line as a wildfire firewoman.,This evolvement can be seen in the images I now capture while on the fire line as a wildfire [ROLE NOUN].
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']",I was lucky to find someone who could see that I wasn’t doing well and not coping and helped “send me through the system” to get me the help I needed to get back to being a healthy firefighter.,I was lucky to find someone who could see that I wasn’t doing well and not coping and helped “send me through the system” to get me the help I needed to get back to being a healthy [ROLE NOUN].
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']",I was lucky to find someone who could see that I wasn’t doing well and not coping and helped “send me through the system” to get me the help I needed to get back to being a healthy fireman.,I was lucky to find someone who could see that I wasn’t doing well and not coping and helped “send me through the system” to get me the help I needed to get back to being a healthy [ROLE NOUN].
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']",I was lucky to find someone who could see that I wasn’t doing well and not coping and helped “send me through the system” to get me the help I needed to get back to being a healthy firewoman.,I was lucky to find someone who could see that I wasn’t doing well and not coping and helped “send me through the system” to get me the help I needed to get back to being a healthy [ROLE NOUN].
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']","In the mid 2000s I became a firefighter, and thereafter a paramedic.","In the mid 2000s I became a [ROLE NOUN], and thereafter a paramedic."
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']","In the mid 2000s I became a fireman, and thereafter a paramedic.","In the mid 2000s I became a [ROLE NOUN], and thereafter a paramedic."
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']","In the mid 2000s I became a firewoman, and thereafter a paramedic.","In the mid 2000s I became a [ROLE NOUN], and thereafter a paramedic."
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']",It didn’t take me long to realize how hard it was to earn a living as a firefighter/paramedic.,It didn’t take me long to realize how hard it was to earn a living as a [ROLE NOUN]/paramedic.
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']",It didn’t take me long to realize how hard it was to earn a living as a fireman/paramedic.,It didn’t take me long to realize how hard it was to earn a living as a [ROLE NOUN]/paramedic.
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']",It didn’t take me long to realize how hard it was to earn a living as a firewoman/paramedic.,It didn’t take me long to realize how hard it was to earn a living as a [ROLE NOUN]/paramedic.
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']",I became a firefighter.,I became a [ROLE NOUN].
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']",I became a fireman.,I became a [ROLE NOUN].
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']",I became a firewoman.,I became a [ROLE NOUN].
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']","I work in fire protection, not a firefighter, and I work out 5 days a week.","I work in fire protection, not a [ROLE NOUN], and I work out 5 days a week."
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']","I work in fire protection, not a fireman, and I work out 5 days a week.","I work in fire protection, not a [ROLE NOUN], and I work out 5 days a week."
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']","I work in fire protection, not a firewoman, and I work out 5 days a week.","I work in fire protection, not a [ROLE NOUN], and I work out 5 days a week."
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']",I am a career firefighter that works 2 full time jobs.,I am a career [ROLE NOUN] that works 2 full time jobs.
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']",I am a career fireman that works 2 full time jobs.,I am a career [ROLE NOUN] that works 2 full time jobs.
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']",I am a career firewoman that works 2 full time jobs.,I am a career [ROLE NOUN] that works 2 full time jobs.
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']","I'm just an old retired firefighter who enjoys a great many activities such as hunting, fishing, playing bluegrass music and seeing new sights.","I'm just an old retired [ROLE NOUN] who enjoys a great many activities such as hunting, fishing, playing bluegrass music and seeing new sights."
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']","I'm just an old retired fireman who enjoys a great many activities such as hunting, fishing, playing bluegrass music and seeing new sights.","I'm just an old retired [ROLE NOUN] who enjoys a great many activities such as hunting, fishing, playing bluegrass music and seeing new sights."
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']","I'm just an old retired firewoman who enjoys a great many activities such as hunting, fishing, playing bluegrass music and seeing new sights.","I'm just an old retired [ROLE NOUN] who enjoys a great many activities such as hunting, fishing, playing bluegrass music and seeing new sights."
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']","I am a farmer, an ally, a firestarter, a firefighter.","I am a farmer, an ally, a firestarter, a [ROLE NOUN]."
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']","I am a farmer, an ally, a firestarter, a fireman.","I am a farmer, an ally, a firestarter, a [ROLE NOUN]."
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']","I am a farmer, an ally, a firestarter, a firewoman.","I am a farmer, an ally, a firestarter, a [ROLE NOUN]."
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']","I was also a polar bear-guard, a helicopter controller and also a firefighter on the helicopter squad.","I was also a polar bear-guard, a helicopter controller and also a [ROLE NOUN] on the helicopter squad."
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']","I was also a polar bear-guard, a helicopter controller and also a fireman on the helicopter squad.","I was also a polar bear-guard, a helicopter controller and also a [ROLE NOUN] on the helicopter squad."
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']","I was also a polar bear-guard, a helicopter controller and also a firewoman on the helicopter squad.","I was also a polar bear-guard, a helicopter controller and also a [ROLE NOUN] on the helicopter squad."
firefighter,neutral,masculine,True,"['firefighter', 'fireman', 'firewoman']","I went to a few colleges last year, so I’m known as the town firefighter.","I went to a few colleges last year, so I’m known as the town [ROLE NOUN]."
fireman,masculine,masculine,False,"['firefighter', 'fireman', 'firewoman']","I went to a few colleges last year, so I’m known as the town fireman.","I went to a few colleges last year, so I’m known as the town [ROLE NOUN]."
firewoman,feminine,masculine,True,"['firefighter', 'fireman', 'firewoman']","I went to a few colleges last year, so I’m known as the town firewoman.","I went to a few colleges last year, so I’m known as the town [ROLE NOUN]."
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']",It was these early memories that sparked my desire to become a police officer.,It was these early memories that sparked my desire to become a [ROLE NOUN].
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']",It was these early memories that sparked my desire to become a policeman.,It was these early memories that sparked my desire to become a [ROLE NOUN].
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']",It was these early memories that sparked my desire to become a policewoman.,It was these early memories that sparked my desire to become a [ROLE NOUN].
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']","I started my career as a police officer working in a busy station dealing with all aspects of policing, I was also the cadet training officer developing teenagers who wanted to join the police when they turned 18, this was where my love for developing people began.","I started my career as a [ROLE NOUN] working in a busy station dealing with all aspects of policing, I was also the cadet training officer developing teenagers who wanted to join the police when they turned 18, this was where my love for developing people began."
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']","I started my career as a policeman working in a busy station dealing with all aspects of policing, I was also the cadet training officer developing teenagers who wanted to join the police when they turned 18, this was where my love for developing people began.","I started my career as a [ROLE NOUN] working in a busy station dealing with all aspects of policing, I was also the cadet training officer developing teenagers who wanted to join the police when they turned 18, this was where my love for developing people began."
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']","I started my career as a policewoman working in a busy station dealing with all aspects of policing, I was also the cadet training officer developing teenagers who wanted to join the police when they turned 18, this was where my love for developing people began.","I started my career as a [ROLE NOUN] working in a busy station dealing with all aspects of policing, I was also the cadet training officer developing teenagers who wanted to join the police when they turned 18, this was where my love for developing people began."
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']",It was then when my mind shifted from wanting to be a police officer to wanting to be a crime beat reporter.,It was then when my mind shifted from wanting to be a [ROLE NOUN] to wanting to be a crime beat reporter.
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']",It was then when my mind shifted from wanting to be a policeman to wanting to be a crime beat reporter.,It was then when my mind shifted from wanting to be a [ROLE NOUN] to wanting to be a crime beat reporter.
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']",It was then when my mind shifted from wanting to be a policewoman to wanting to be a crime beat reporter.,It was then when my mind shifted from wanting to be a [ROLE NOUN] to wanting to be a crime beat reporter.
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']","I started in the business of caring for pets due to my love of animals, having previously been a police officer for 22 years.","I started in the business of caring for pets due to my love of animals, having previously been a [ROLE NOUN] for 22 years."
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']","I started in the business of caring for pets due to my love of animals, having previously been a policeman for 22 years.","I started in the business of caring for pets due to my love of animals, having previously been a [ROLE NOUN] for 22 years."
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']","I started in the business of caring for pets due to my love of animals, having previously been a policewoman for 22 years.","I started in the business of caring for pets due to my love of animals, having previously been a [ROLE NOUN] for 22 years."
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']","While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a police officer became a major part of my life for nearly 30 years.","While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a [ROLE NOUN] became a major part of my life for nearly 30 years."
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']","While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a policeman became a major part of my life for nearly 30 years.","While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a [ROLE NOUN] became a major part of my life for nearly 30 years."
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']","While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a policewoman became a major part of my life for nearly 30 years.","While I had intended to work in that field for only a few years, until I completed my college studies and obtained my degree, life took hold and between marriage, buying a house and raising kiddos that career as a [ROLE NOUN] became a major part of my life for nearly 30 years."
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']",My full-time job for the last 15 years has been a police officer.,My full-time job for the last 15 years has been a [ROLE NOUN].
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']",My full-time job for the last 15 years has been a policeman.,My full-time job for the last 15 years has been a [ROLE NOUN].
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']",My full-time job for the last 15 years has been a policewoman.,My full-time job for the last 15 years has been a [ROLE NOUN].
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']",During my career as an police officer I've always remained active by doing small edits at existing Wordpress sites.,During my career as an [ROLE NOUN] I've always remained active by doing small edits at existing Wordpress sites.
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']",During my career as an policeman I've always remained active by doing small edits at existing Wordpress sites.,During my career as an [ROLE NOUN] I've always remained active by doing small edits at existing Wordpress sites.
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']",During my career as an policewoman I've always remained active by doing small edits at existing Wordpress sites.,During my career as an [ROLE NOUN] I've always remained active by doing small edits at existing Wordpress sites.
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']","From an early age, I always wanted to be a police officer.","From an early age, I always wanted to be a [ROLE NOUN]."
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']","From an early age, I always wanted to be a policeman.","From an early age, I always wanted to be a [ROLE NOUN]."
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']","From an early age, I always wanted to be a policewoman.","From an early age, I always wanted to be a [ROLE NOUN]."
police officer,neutral,neutral,False,"['police officer', 'policeman', 'policewoman']",I am a retired police officer and veteran (achievements I am incredibly proud of).,I am a retired [ROLE NOUN] and veteran (achievements I am incredibly proud of).
policeman,masculine,neutral,True,"['police officer', 'policeman', 'policewoman']",I am a retired policeman and veteran (achievements I am incredibly proud of).,I am a retired [ROLE NOUN] and veteran (achievements I am incredibly proud of).
policewoman,feminine,neutral,True,"['police officer', 'policeman', 'policewoman']",I am a retired policewoman and veteran (achievements I am incredibly proud of).,I am a retired [ROLE NOUN] and veteran (achievements I am incredibly proud of).
