index,role_noun,role_noun_set,sentence,sentence_format,task_wording,prompt_text,model,man,woman,person
98,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']",I've been a volunteer advocate for millions of vulnerable children in dire straits and a clergyperson for 20 years.,I've been a volunteer advocate for millions of vulnerable children in dire straits and a [ROLE NOUN] for 20 years.,simple,I've been a volunteer advocate for millions of vulnerable children in dire straits and a clergyperson for 20 years. I am a,llama-3.1-8B,-5.138165473937988,-5.364727973937988,-5.380352973937988
99,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']",I’m a former licensed clergyperson who studied the Bible and counseling in college.,I’m a former licensed [ROLE NOUN] who studied the Bible and counseling in college.,simple,I’m a former licensed clergyperson who studied the Bible and counseling in college. I am a,llama-3.1-8B,-6.99924898147583,-5.27268648147583,-5.01487398147583
100,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']","Because I was a prominent clergyperson in Jacksonville, my failure was splashed across the evening news and the front page of the newspaper.","Because I was a prominent [ROLE NOUN] in Jacksonville, my failure was splashed across the evening news and the front page of the newspaper.",simple,"Because I was a prominent clergyperson in Jacksonville, my failure was splashed across the evening news and the front page of the newspaper. I am a",llama-3.1-8B,-3.5406315326690674,-4.595318794250488,-3.4546940326690674
101,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']","I am a daydreamer, activist, clergyperson, writer, and creative.","I am a daydreamer, activist, [ROLE NOUN], writer, and creative.",simple,"I am a daydreamer, activist, clergyperson, writer, and creative. I am a",llama-3.1-8B,-6.731074333190918,-4.152949333190918,-4.215449333190918
102,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']",I’m an ordained clergyperson from Minnesota with a background in teaching and performance arts.,I’m an ordained [ROLE NOUN] from Minnesota with a background in teaching and performance arts.,simple,I’m an ordained clergyperson from Minnesota with a background in teaching and performance arts. I am a,llama-3.1-8B,-7.570853233337402,-6.094290733337402,-5.641165733337402
103,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']","If you haven’t guessed by now, I am not your run-of-the-mill clergyperson.","If you haven’t guessed by now, I am not your run-of-the-mill [ROLE NOUN].",simple,"If you haven’t guessed by now, I am not your run-of-the-mill clergyperson. I am a",llama-3.1-8B,-5.033692359924316,-3.5415048599243164,-4.393067359924316
104,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']","I’m an ordained clergyperson, a writer, and a perpetually curious learner.","I’m an ordained [ROLE NOUN], a writer, and a perpetually curious learner.",simple,"I’m an ordained clergyperson, a writer, and a perpetually curious learner. I am a",llama-3.1-8B,-7.364492416381836,-4.958242416381836,-4.848867416381836
105,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']","By profession I am a United Methodist clergyperson, serving as Executive Director of the Massachusetts Bible Society, one of the oldest Bible Societies in the US.","By profession I am a United Methodist [ROLE NOUN], serving as Executive Director of the Massachusetts Bible Society, one of the oldest Bible Societies in the US.",simple,"By profession I am a United Methodist clergyperson, serving as Executive Director of the Massachusetts Bible Society, one of the oldest Bible Societies in the US. I am a",llama-3.1-8B,-6.767683029174805,-6.556745529174805,-6.119245529174805
106,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']","If you do not know this about me already, I am also a former United Methodist clergyperson.","If you do not know this about me already, I am also a former United Methodist [ROLE NOUN].",simple,"If you do not know this about me already, I am also a former United Methodist clergyperson. I am a",llama-3.1-8B,-6.2950439453125,-4.4825439453125,-4.3809814453125
107,clergyperson,"['clergyperson', 'clergywoman', 'clergyman']",I have a background of thirty years of parish and institutional ministry as a United Methodist clergyperson.,I have a background of thirty years of parish and institutional ministry as a United Methodist [ROLE NOUN].,simple,I have a background of thirty years of parish and institutional ministry as a United Methodist clergyperson. I am a,llama-3.1-8B,-6.716849327087402,-5.834036827087402,-4.763724327087402
108,congressperson,"['congressperson', 'congresswoman', 'congressman']","As your congressperson, I will work to make it even better.","As your [ROLE NOUN], I will work to make it even better.",simple,"As your congressperson, I will work to make it even better. I am a",llama-3.1-8B,-5.586541652679443,-6.117791652679443,-5.813104152679443
109,congressperson,"['congressperson', 'congresswoman', 'congressman']","As your congressperson, I will: Use my business experience, to reduce regulations, protect the free-market and capitalism, and encourage business and job growth.","As your [ROLE NOUN], I will: Use my business experience, to reduce regulations, protect the free-market and capitalism, and encourage business and job growth.",simple,"As your congressperson, I will: Use my business experience, to reduce regulations, protect the free-market and capitalism, and encourage business and job growth. I am a",llama-3.1-8B,-6.5327277183532715,-7.0952277183532715,-6.9311652183532715
110,congressperson,"['congressperson', 'congresswoman', 'congressman']",That’s what I intend to do as your congressperson.,That’s what I intend to do as your [ROLE NOUN].,simple,That’s what I intend to do as your congressperson. I am a,llama-3.1-8B,-4.989823341369629,-5.341385841369629,-5.036698341369629
111,congressperson,"['congressperson', 'congresswoman', 'congressman']","Later, I was elected the first African American congressperson from Mississippi since the Reconstruction Era.","Later, I was elected the first African American [ROLE NOUN] from Mississippi since the Reconstruction Era.",simple,"Later, I was elected the first African American congressperson from Mississippi since the Reconstruction Era. I am a",llama-3.1-8B,-5.4652204513549805,-4.4417829513549805,-5.4730329513549805
112,congressperson,"['congressperson', 'congresswoman', 'congressman']","After spending my entire adult life in service to our Country, many ask me now why I desire to be a congressperson.","After spending my entire adult life in service to our Country, many ask me now why I desire to be a [ROLE NOUN].",simple,"After spending my entire adult life in service to our Country, many ask me now why I desire to be a congressperson. I am a",llama-3.1-8B,-3.861544609069824,-5.634982109069824,-3.931857109069824
113,congressperson,"['congressperson', 'congresswoman', 'congressman']",I’m a conservative Republican congressperson from Nebraska who is being indicted by a California prosecutor on a completely false charge of lying to the FBI.,I’m a conservative Republican [ROLE NOUN] from Nebraska who is being indicted by a California prosecutor on a completely false charge of lying to the FBI.,simple,I’m a conservative Republican congressperson from Nebraska who is being indicted by a California prosecutor on a completely false charge of lying to the FBI. I am a,llama-3.1-8B,-4.910705089569092,-5.262267589569092,-5.668517589569092
114,congressperson,"['congressperson', 'congresswoman', 'congressman']","As your congressperson, I will engage with everyone, regardless of party affiliation to represent your interests.","As your [ROLE NOUN], I will engage with everyone, regardless of party affiliation to represent your interests.",simple,"As your congressperson, I will engage with everyone, regardless of party affiliation to represent your interests. I am a",llama-3.1-8B,-5.308949947357178,-5.691762447357178,-4.933949947357178
115,congressperson,"['congressperson', 'congresswoman', 'congressman']",In 3rd grade I dressed up as a congressperson for career day.,In 3rd grade I dressed up as a [ROLE NOUN] for career day.,simple,In 3rd grade I dressed up as a congressperson for career day. I am a,llama-3.1-8B,-6.382389545440674,-4.733952045440674,-5.663639545440674
116,congressperson,"['congressperson', 'congresswoman', 'congressman']",The congressperson inquires on issues related to efficiency and transparency as it relates to services rendered to our veterans.,The [ROLE NOUN] inquires on issues related to efficiency and transparency as it relates to services rendered to our veterans.,simple,The congressperson inquires on issues related to efficiency and transparency as it relates to services rendered to our veterans. I am a,llama-3.1-8B,-7.3210930824279785,-7.0476555824279785,-6.0710930824279785
117,congressperson,"['congressperson', 'congresswoman', 'congressman']","As your congressperson, I’ll focus on getting results, not on getting headlines.","As your [ROLE NOUN], I’ll focus on getting results, not on getting headlines.",simple,"As your congressperson, I’ll focus on getting results, not on getting headlines. I am a",llama-3.1-8B,-5.326513290405273,-6.326513290405273,-5.506200790405273
118,councilperson,"['councilperson', 'councilwoman', 'councilman']","As your Metro councilperson, I will provide a high level of constituent services and communication to the residents of the 9th District.","As your Metro [ROLE NOUN], I will provide a high level of constituent services and communication to the residents of the 9th District.",simple,"As your Metro councilperson, I will provide a high level of constituent services and communication to the residents of the 9th District. I am a",llama-3.1-8B,-5.444356918334961,-7.139669418334961,-4.686544418334961
119,councilperson,"['councilperson', 'councilwoman', 'councilman']","I have been an action-driven councilperson that leads by example, community participation, preparation, and communication.","I have been an action-driven [ROLE NOUN] that leads by example, community participation, preparation, and communication.",simple,"I have been an action-driven councilperson that leads by example, community participation, preparation, and communication. I am a",llama-3.1-8B,-5.144083023071289,-5.206583023071289,-4.034708023071289
120,councilperson,"['councilperson', 'councilwoman', 'councilman']",Burlington citizens granted me the honor of serving them over the past four years as councilperson after being elected in 2017.,Burlington citizens granted me the honor of serving them over the past four years as [ROLE NOUN] after being elected in 2017.,simple,Burlington citizens granted me the honor of serving them over the past four years as councilperson after being elected in 2017. I am a,llama-3.1-8B,-6.6385273933410645,-7.3494648933410645,-6.7244648933410645
121,councilperson,"['councilperson', 'councilwoman', 'councilman']","I’ve been in development, brokerage, property management, appraisal, construction management, and even served as a city councilperson.","I’ve been in development, brokerage, property management, appraisal, construction management, and even served as a city [ROLE NOUN].",simple,"I’ve been in development, brokerage, property management, appraisal, construction management, and even served as a city councilperson. I am a",llama-3.1-8B,-6.233504295349121,-7.514754295349121,-6.725691795349121
122,councilperson,"['councilperson', 'councilwoman', 'councilman']",councilperson Goode serves on many committees in the community two being the Chair of Public Safety and laison to our seniors.,[ROLE NOUN] Goode serves on many committees in the community two being the Chair of Public Safety and laison to our seniors.,simple,councilperson Goode serves on many committees in the community two being the Chair of Public Safety and laison to our seniors. I am a,llama-3.1-8B,-5.894308090209961,-6.433370590209961,-5.355245590209961
123,councilperson,"['councilperson', 'councilwoman', 'councilman']","As Town councilperson, I then voted to impose Term Limits on all elected officials in Islip...including myself!","As Town [ROLE NOUN], I then voted to impose Term Limits on all elected officials in Islip...including myself!",simple,"As Town councilperson, I then voted to impose Term Limits on all elected officials in Islip...including myself! I am a",llama-3.1-8B,-3.4996137619018555,-5.3511762619018555,-4.8511762619018555
124,councilperson,"['councilperson', 'councilwoman', 'councilman']","As a City councilperson, I will always ensure the best interests of the residents of Rochester Hills are at the forefront of all decisions.","As a City [ROLE NOUN], I will always ensure the best interests of the residents of Rochester Hills are at the forefront of all decisions.",simple,"As a City councilperson, I will always ensure the best interests of the residents of Rochester Hills are at the forefront of all decisions. I am a",llama-3.1-8B,-5.785809516906738,-6.012372016906738,-5.004559516906738
125,councilperson,"['councilperson', 'councilwoman', 'councilman']","As a councilperson on Louisville Metro Council, I successfully spearheaded and passed a minimum wage increase and a bill to ban the box on job applications.","As a [ROLE NOUN] on Louisville Metro Council, I successfully spearheaded and passed a minimum wage increase and a bill to ban the box on job applications.",simple,"As a councilperson on Louisville Metro Council, I successfully spearheaded and passed a minimum wage increase and a bill to ban the box on job applications. I am a",llama-3.1-8B,-8.862478256225586,-5.784353733062744,-6.596853733062744
126,councilperson,"['councilperson', 'councilwoman', 'councilman']","I ask for your vote to re-elect me as your KCMO District 1, In-District councilperson.","I ask for your vote to re-elect me as your KCMO District 1, In-District [ROLE NOUN].",simple,"I ask for your vote to re-elect me as your KCMO District 1, In-District councilperson. I am a",llama-3.1-8B,-5.53027868270874,-5.77246618270874,-5.53027868270874
127,councilperson,"['councilperson', 'councilwoman', 'councilman']",I look forward to serving as your City councilperson for Place 1.,I look forward to serving as your City [ROLE NOUN] for Place 1.,simple,I look forward to serving as your City councilperson for Place 1. I am a,llama-3.1-8B,-6.896452903747559,-7.646452903747559,-7.052702903747559
128,councilperson,"['councilperson', 'councilwoman', 'councilman']","In the meantime, it’s an honor to serve as your councilperson and I hope you allow me to continue representing you in 2022 and beyond.","In the meantime, it’s an honor to serve as your [ROLE NOUN] and I hope you allow me to continue representing you in 2022 and beyond.",simple,"In the meantime, it’s an honor to serve as your councilperson and I hope you allow me to continue representing you in 2022 and beyond. I am a",llama-3.1-8B,-4.9810404777526855,-6.4107279777526855,-5.6138529777526855
129,councilperson,"['councilperson', 'councilwoman', 'councilman']",As your councilperson it is my duty to make sure the city continues setting realistic goals and priorities.,As your [ROLE NOUN] it is my duty to make sure the city continues setting realistic goals and priorities.,simple,As your councilperson it is my duty to make sure the city continues setting realistic goals and priorities. I am a,llama-3.1-8B,-5.850148677825928,-7.045461177825928,-5.068898677825928
130,councilperson,"['councilperson', 'councilwoman', 'councilman']","As a councilperson, I have been a voice for progress.","As a [ROLE NOUN], I have been a voice for progress.",simple,"As a councilperson, I have been a voice for progress. I am a",llama-3.1-8B,-6.05669641494751,-5.05669641494751,-5.16607141494751
131,cow herder,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cow herder from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",simple,"I worked as a cow herder from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences. I am a",llama-3.1-8B,-7.042804718017578,-7.230304718017578,-7.464679718017578
132,cow herder,"['cow herder', 'cowgirl', 'cowboy']",I am a web-marketing cow herder and love to explore all that the internet has to offer.,I am a web-marketing [ROLE NOUN] and love to explore all that the internet has to offer.,simple,I am a web-marketing cow herder and love to explore all that the internet has to offer. I am a,llama-3.1-8B,-6.250348091125488,-7.055035591125488,-6.211285591125488
133,cow herder,"['cow herder', 'cowgirl', 'cowboy']","I grew up in a peasant famiIy, in a ruraI area of Cambodia where I was raised as a cow herder.","I grew up in a peasant famiIy, in a ruraI area of Cambodia where I was raised as a [ROLE NOUN].",simple,"I grew up in a peasant famiIy, in a ruraI area of Cambodia where I was raised as a cow herder. I am a",llama-3.1-8B,-4.501621723175049,-5.126621723175049,-4.853184223175049
134,cow herder,"['cow herder', 'cowgirl', 'cowboy']",I am a cow herder! ….. well at heart anymore I guess.,I am a [ROLE NOUN]! ….. well at heart anymore I guess.,simple,I am a cow herder! ….. well at heart anymore I guess. I am a,llama-3.1-8B,-5.482654571533203,-5.756092071533203,-5.388904571533203
135,cow herder,"['cow herder', 'cowgirl', 'cowboy']","When I was growing up, I always wanted to be a cow herder.","When I was growing up, I always wanted to be a [ROLE NOUN].",simple,"When I was growing up, I always wanted to be a cow herder. I am a",llama-3.1-8B,-6.030097961425781,-5.623847961425781,-5.248847961425781
136,cow herder,"['cow herder', 'cowgirl', 'cowboy']",I was just the existential cow herder who self-medicated on marijuana all day and considered suicide a viable option.,I was just the existential [ROLE NOUN] who self-medicated on marijuana all day and considered suicide a viable option.,simple,I was just the existential cow herder who self-medicated on marijuana all day and considered suicide a viable option. I am a,llama-3.1-8B,-4.47603702545166,-5.44478702545166,-4.69478702545166
137,cow herder,"['cow herder', 'cowgirl', 'cowboy']","C: I wasn’t terribly creative, so I was a witch for several years than a cow herder for as long as my red boots would fit me.","C: I wasn’t terribly creative, so I was a witch for several years than a [ROLE NOUN] for as long as my red boots would fit me.",simple,"C: I wasn’t terribly creative, so I was a witch for several years than a cow herder for as long as my red boots would fit me. I am a",llama-3.1-8B,-6.616030693054199,-5.201968193054199,-6.600405693054199
138,cow herder,"['cow herder', 'cowgirl', 'cowboy']","Late at night I like to imagine myself as a part time world travelling, radio psychologist, wine taster/quaffer, writer, artist and hippy cow herder who lives at the beach.","Late at night I like to imagine myself as a part time world travelling, radio psychologist, wine taster/quaffer, writer, artist and hippy [ROLE NOUN] who lives at the beach.",simple,"Late at night I like to imagine myself as a part time world travelling, radio psychologist, wine taster/quaffer, writer, artist and hippy cow herder who lives at the beach. I am a",llama-3.1-8B,-6.585315227508545,-4.616565227508545,-5.171252727508545
139,cow herder,"['cow herder', 'cowgirl', 'cowboy']","I'm a wanna be photographer, runner, cow herder and writer... and was a wanna be blogger.... until now.","I'm a wanna be photographer, runner, [ROLE NOUN] and writer... and was a wanna be blogger.... until now.",simple,"I'm a wanna be photographer, runner, cow herder and writer... and was a wanna be blogger.... until now. I am a",llama-3.1-8B,-7.856121063232422,-5.106121063232422,-6.207683563232422
140,cow herder,"['cow herder', 'cowgirl', 'cowboy']","Because by then, I had become a real live Manhattan cow herder.","Because by then, I had become a real live Manhattan [ROLE NOUN].",simple,"Because by then, I had become a real live Manhattan cow herder. I am a",llama-3.1-8B,-4.983244895935059,-4.944182395935059,-4.912932395935059
141,cow herder,"['cow herder', 'cowgirl', 'cowboy']","And yes, I am a bit of a cow herder.","And yes, I am a bit of a [ROLE NOUN].",simple,"And yes, I am a bit of a cow herder. I am a",llama-3.1-8B,-6.770581245422363,-5.653393745422363,-5.426831245422363
142,cow herder,"['cow herder', 'cowgirl', 'cowboy']","Okay, so I spent a lot of time dreaming I was a cow herder with a trusty black stallion.","Okay, so I spent a lot of time dreaming I was a [ROLE NOUN] with a trusty black stallion.",simple,"Okay, so I spent a lot of time dreaming I was a cow herder with a trusty black stallion. I am a",llama-3.1-8B,-5.653199672698975,-4.801637172698975,-6.239137172698975
143,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",I consider myself as much a designer as a craftsperson.,I consider myself as much a designer as a [ROLE NOUN].,simple,I consider myself as much a designer as a craftsperson. I am a,llama-3.1-8B,-6.771961212158203,-6.295398712158203,-4.967273712158203
144,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I have always been a craftsperson and operated a wood shop as part of my trade, building all sorts of items made of wood.","I have always been a [ROLE NOUN] and operated a wood shop as part of my trade, building all sorts of items made of wood.",simple,"I have always been a craftsperson and operated a wood shop as part of my trade, building all sorts of items made of wood. I am a",llama-3.1-8B,-5.863863945007324,-7.793551445007324,-5.262301445007324
145,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","Hopefully I can inspire you to become a doer, a maker, a creator . . . a craftsperson.","Hopefully I can inspire you to become a doer, a maker, a creator . . . a [ROLE NOUN].",simple,"Hopefully I can inspire you to become a doer, a maker, a creator . . . a craftsperson. I am a",llama-3.1-8B,-7.034117221832275,-5.370054721832275,-4.362242221832275
146,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",I have been a plumber for 24 years now and i consider myself to be a craftsperson and perfectionist.,I have been a plumber for 24 years now and i consider myself to be a [ROLE NOUN] and perfectionist.,simple,I have been a plumber for 24 years now and i consider myself to be a craftsperson and perfectionist. I am a,llama-3.1-8B,-5.338275909423828,-10.080463409423828,-5.166400909423828
147,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I then moved on to being a designer and craftsperson, I have over 20 years’ experience in designing.","I then moved on to being a designer and [ROLE NOUN], I have over 20 years’ experience in designing.",simple,"I then moved on to being a designer and craftsperson, I have over 20 years’ experience in designing. I am a",llama-3.1-8B,-8.130364418029785,-7.247551918029785,-6.575676918029785
148,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",Usually I describe myself as a Software craftsperson and Data Scientist.,Usually I describe myself as a Software [ROLE NOUN] and Data Scientist.,simple,Usually I describe myself as a Software craftsperson and Data Scientist. I am a,llama-3.1-8B,-6.393807888031006,-9.151620864868164,-4.557870388031006
149,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I am a craftsperson, designer maker and artist and have been, on and off, for the last twenty years.","I am a [ROLE NOUN], designer maker and artist and have been, on and off, for the last twenty years.",simple,"I am a craftsperson, designer maker and artist and have been, on and off, for the last twenty years. I am a",llama-3.1-8B,-7.4017839431762695,-7.0736589431762695,-6.3627214431762695
150,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",Some time in my forties I began to identify myself as an artist/craftsperson.,Some time in my forties I began to identify myself as an artist/[ROLE NOUN].,simple,Some time in my forties I began to identify myself as an artist/craftsperson. I am a,llama-3.1-8B,-7.63969612121582,-5.06938362121582,-4.89750862121582
151,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","So now I am an author, craftsperson and business owner, and enjoying the adventure.","So now I am an author, [ROLE NOUN] and business owner, and enjoying the adventure.",simple,"So now I am an author, craftsperson and business owner, and enjoying the adventure. I am a",llama-3.1-8B,-8.00818157196045,-5.289431571960449,-5.601931571960449
152,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I supervised the manufacture of objects for set dressing as well as working as a craftsperson creating objects ranging from 17th century dolls, effigies, floorcloths, silhouettes to a child's diary.","I supervised the manufacture of objects for set dressing as well as working as a [ROLE NOUN] creating objects ranging from 17th century dolls, effigies, floorcloths, silhouettes to a child's diary.",simple,"I supervised the manufacture of objects for set dressing as well as working as a craftsperson creating objects ranging from 17th century dolls, effigies, floorcloths, silhouettes to a child's diary. I am a",llama-3.1-8B,-9.307418823242188,-8.201950073242188,-7.467574596405029
153,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","As a craftsperson or hobbyist, I try to offer a distinctive product by hand using traditional methods.","As a [ROLE NOUN] or hobbyist, I try to offer a distinctive product by hand using traditional methods.",simple,"As a craftsperson or hobbyist, I try to offer a distinctive product by hand using traditional methods. I am a",llama-3.1-8B,-7.341179847717285,-7.833367347717285,-6.184929847717285
154,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","Pottery, Jewelry, and More I've been a craftsperson since taking my first watercolor class in 1993 and pottery class in 1996.","Pottery, Jewelry, and More I've been a [ROLE NOUN] since taking my first watercolor class in 1993 and pottery class in 1996.",simple,"Pottery, Jewelry, and More I've been a craftsperson since taking my first watercolor class in 1993 and pottery class in 1996. I am a",llama-3.1-8B,-10.362116813659668,-7.362116813659668,-7.135554313659668
155,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",For nearly 30 years I was a professional craftsperson with a sewn line of country primitive kitchen accessories items and country style curtains.,For nearly 30 years I was a professional [ROLE NOUN] with a sewn line of country primitive kitchen accessories items and country style curtains.,simple,For nearly 30 years I was a professional craftsperson with a sewn line of country primitive kitchen accessories items and country style curtains. I am a,llama-3.1-8B,-8.999811172485352,-6.003716945648193,-6.159966945648193
156,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",Currently available work » I am an artist and craftsperson.,Currently available work » I am an artist and [ROLE NOUN].,simple,Currently available work » I am an artist and craftsperson. I am a,llama-3.1-8B,-6.223814010620117,-5.731626510620117,-5.028501510620117
157,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I am an avid gardener (expect springtime flower pictures!), quilter and craftsperson.","I am an avid gardener (expect springtime flower pictures!), quilter and [ROLE NOUN].",simple,"I am an avid gardener (expect springtime flower pictures!), quilter and craftsperson. I am a",llama-3.1-8B,-9.627243041992188,-6.8069305419921875,-6.3303680419921875
158,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",I am a master craftsperson who aspires to add an air of class to your space with my top-quality artisanal wall art and photo album options.,I am a master [ROLE NOUN] who aspires to add an air of class to your space with my top-quality artisanal wall art and photo album options.,simple,I am a master craftsperson who aspires to add an air of class to your space with my top-quality artisanal wall art and photo album options. I am a,llama-3.1-8B,-5.430891036987305,-6.876203536987305,-5.493391036987305
159,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I am a scientist, artist, craftsperson, nature enthusiast and animal lover.","I am a scientist, artist, [ROLE NOUN], nature enthusiast and animal lover.",simple,"I am a scientist, artist, craftsperson, nature enthusiast and animal lover. I am a",llama-3.1-8B,-7.009729385375977,-5.181604385375977,-4.705041885375977
160,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",Every day I am working to be a better designer and a more skilled craftsperson.,Every day I am working to be a better designer and a more skilled [ROLE NOUN].,simple,Every day I am working to be a better designer and a more skilled craftsperson. I am a,llama-3.1-8B,-6.220090866088867,-6.110715866088867,-4.766965866088867
161,crewmember,"['crewmember', 'crewwoman', 'crewman']","I spent years serving as a tank crewmember, then went to Iraq in 2005 and never got in a tank.","I spent years serving as a tank [ROLE NOUN], then went to Iraq in 2005 and never got in a tank.",simple,"I spent years serving as a tank crewmember, then went to Iraq in 2005 and never got in a tank. I am a",llama-3.1-8B,-6.891946315765381,-8.528665542602539,-7.227883815765381
162,crewmember,"['crewmember', 'crewwoman', 'crewman']",I served almost 9 years as an Armor crewmember before reclassifying to a Graphic Illustrator.,I served almost 9 years as an Armor [ROLE NOUN] before reclassifying to a Graphic Illustrator.,simple,I served almost 9 years as an Armor crewmember before reclassifying to a Graphic Illustrator. I am a,llama-3.1-8B,-7.7776360511779785,-9.20732307434082,-7.6135735511779785
163,crewmember,"['crewmember', 'crewwoman', 'crewman']",I also worked as fire/Safety crewmember at the Woodburn Dragstrip.,I also worked as fire/Safety [ROLE NOUN] at the Woodburn Dragstrip.,simple,I also worked as fire/Safety crewmember at the Woodburn Dragstrip. I am a,llama-3.1-8B,-8.323309898376465,-9.655341148376465,-8.034247398376465
164,delivery person,"['delivery person', 'delivery woman', 'delivery man']","For two years I learned the fundamentals of production working as a camera assistant, photographer, darkroom technician, photo editor, grip, electrician, delivery person and floor sweeper.","For two years I learned the fundamentals of production working as a camera assistant, photographer, darkroom technician, photo editor, grip, electrician, [ROLE NOUN] and floor sweeper.",simple,"For two years I learned the fundamentals of production working as a camera assistant, photographer, darkroom technician, photo editor, grip, electrician, delivery person and floor sweeper. I am a",llama-3.1-8B,-5.976706504821777,-8.109519004821777,-5.953269004821777
165,delivery person,"['delivery person', 'delivery woman', 'delivery man']","I’ve been in the food industry for over 10 years, working all kinds of jobs from delivery person to sou chef.","I’ve been in the food industry for over 10 years, working all kinds of jobs from [ROLE NOUN] to sou chef.",simple,"I’ve been in the food industry for over 10 years, working all kinds of jobs from delivery person to sou chef. I am a",llama-3.1-8B,-6.6388397216796875,-7.5372772216796875,-5.5997772216796875
166,delivery person,"['delivery person', 'delivery woman', 'delivery man']","They included being a dock worker, a crane operator, a UPS delivery person and, finally, the pinnacle of my achievements, a slaughterhouse manager.","They included being a dock worker, a crane operator, a UPS [ROLE NOUN] and, finally, the pinnacle of my achievements, a slaughterhouse manager.",simple,"They included being a dock worker, a crane operator, a UPS delivery person and, finally, the pinnacle of my achievements, a slaughterhouse manager. I am a",llama-3.1-8B,-3.974001884460449,-4.825564384460449,-4.536501884460449
167,delivery person,"['delivery person', 'delivery woman', 'delivery man']","I worked four jobs which were the school newspaper business manager, newspaper delivery person, laborer at a garage door company, and served tables in a small town called Mesilla.","I worked four jobs which were the school newspaper business manager, newspaper [ROLE NOUN], laborer at a garage door company, and served tables in a small town called Mesilla.",simple,"I worked four jobs which were the school newspaper business manager, newspaper delivery person, laborer at a garage door company, and served tables in a small town called Mesilla. I am a",llama-3.1-8B,-5.6922712326049805,-6.5047712326049805,-5.1844587326049805
168,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","Ten years later, as a professional draftsperson I decided to move to the United States and study art and architecture, which is basically functional art.","Ten years later, as a professional [ROLE NOUN] I decided to move to the United States and study art and architecture, which is basically functional art.",simple,"Ten years later, as a professional draftsperson I decided to move to the United States and study art and architecture, which is basically functional art. I am a",llama-3.1-8B,-6.335467338562012,-5.812029838562012,-4.804217338562012
169,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",After my apprenticeship as a draftsperson and an inspiring worldtrip I focused on film.,After my apprenticeship as a [ROLE NOUN] and an inspiring worldtrip I focused on film.,simple,After my apprenticeship as a draftsperson and an inspiring worldtrip I focused on film. I am a,llama-3.1-8B,-6.983665466308594,-8.913352966308594,-7.499290466308594
170,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",I’m also the sole building designer and draftsperson who personally carries out all building design & drafting work.,I’m also the sole building designer and [ROLE NOUN] who personally carries out all building design & drafting work.,simple,I’m also the sole building designer and draftsperson who personally carries out all building design & drafting work. I am a,llama-3.1-8B,-9.49355697631836,-10.18496322631836,-6.567775249481201
171,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","Starting my career as an electronics technician in the US Air Force, I have held many positions in the industry from draftsperson, Panel builder, Technician, Engineer and Project Manager.","Starting my career as an electronics technician in the US Air Force, I have held many positions in the industry from [ROLE NOUN], Panel builder, Technician, Engineer and Project Manager.",simple,"Starting my career as an electronics technician in the US Air Force, I have held many positions in the industry from draftsperson, Panel builder, Technician, Engineer and Project Manager. I am a",llama-3.1-8B,-6.994509696960449,-9.84607219696045,-5.924197196960449
172,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",At first with the goal to become an Architect I ended up in art school after an apprenticeship as a architectural draftsperson.,At first with the goal to become an Architect I ended up in art school after an apprenticeship as a architectural [ROLE NOUN].,simple,At first with the goal to become an Architect I ended up in art school after an apprenticeship as a architectural draftsperson. I am a,llama-3.1-8B,-6.610452651977539,-8.438577651977539,-5.610452651977539
