index,role_noun,role_noun_set,sentence,task_wording,prompt_text,model,man,woman,person
96,police officer,"['police officer', 'policeman', 'policewoman']",My background is in direct sales but I started my working life as a police officer!,simple,My background is in direct sales but I started my working life as a police officer! I am a,llama-3.1-8B,-8.088269233703613,-6.892956733703613,-6.596081733703613
97,police officer,"['police officer', 'policeman', 'policewoman']",When I was a teenager I wanted to become a police officer or a forester.,simple,When I was a teenager I wanted to become a police officer or a forester. I am a,llama-3.1-8B,-4.511889457702637,-4.418139457702637,-4.300951957702637
98,police officer,"['police officer', 'policeman', 'policewoman']","I’ve always been a believer in thinking that I can do anything that I set my mind to, which has had me pondering on being a police officer, a lawyer, a social worker and a teacher, just to name a few professions that have crossed my mind over the years.",simple,"I’ve always been a believer in thinking that I can do anything that I set my mind to, which has had me pondering on being a police officer, a lawyer, a social worker and a teacher, just to name a few professions that have crossed my mind over the years. I am a",llama-3.1-8B,-6.472146987915039,-3.831521987915039,-3.495584487915039
99,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Growing up I always imagined being a TV meteorologist, however sometimes life throws you a curve ball.",simple,"Growing up I always imagined being a TV meteorologist, however sometimes life throws you a curve ball. I am a",llama-3.1-8B,-7.588456153869629,-6.565018653869629,-6.377518653869629
100,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",My first job out of college was as a meteorologist at a weather modification company.,simple,My first job out of college was as a meteorologist at a weather modification company. I am a,llama-3.1-8B,-7.213123321533203,-6.822498321533203,-6.338123321533203
101,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Formerly a broadcast meteorologist, I left what I once considered a dream job to pursue happiness and it has been the greatest decision I’ve ever made!",simple,"Formerly a broadcast meteorologist, I left what I once considered a dream job to pursue happiness and it has been the greatest decision I’ve ever made! I am a",llama-3.1-8B,-8.120979309082031,-6.027229309082031,-6.691291809082031
102,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","I worked as a meteorologist, forecasting the weather both at home as well as in wild, remote places overseas.",simple,"I worked as a meteorologist, forecasting the weather both at home as well as in wild, remote places overseas. I am a",llama-3.1-8B,-6.11591100692749,-6.71747350692749,-6.61591100692749
103,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",I’m a meteorologist for a television station.,simple,I’m a meteorologist for a television station. I am a,llama-3.1-8B,-5.30879020690918,-5.23066520690918,-5.23847770690918
104,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","As a meteorologist and storm chaser, I continued to develop a love for the landscape and the scenes nature has to offer.",simple,"As a meteorologist and storm chaser, I continued to develop a love for the landscape and the scenes nature has to offer. I am a",llama-3.1-8B,-6.044984817504883,-8.521547317504883,-6.380922317504883
105,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",I am a cosmic meteorologist - I read predictions fully aware that they are only probabilities.,simple,I am a cosmic meteorologist - I read predictions fully aware that they are only probabilities. I am a,llama-3.1-8B,-6.482829570770264,-7.662517070770264,-5.498454570770264
106,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","As a career broadcast meteorologist I bring unique, relatable experience to my clients from forecasting every type of extreme weather to life-seasoned communications skills.",simple,"As a career broadcast meteorologist I bring unique, relatable experience to my clients from forecasting every type of extreme weather to life-seasoned communications skills. I am a",llama-3.1-8B,-7.374387741088867,-7.499387741088867,-6.085325241088867
107,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",I’m a trained meteorologist with 7 years of experience working on television on the local level and on the national level.,simple,I’m a trained meteorologist with 7 years of experience working on television on the local level and on the national level. I am a,llama-3.1-8B,-8.204768180847168,-8.290705680847168,-7.275080680847168
108,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Before I became a piano teacher, I was a television meteorologist.",simple,"Before I became a piano teacher, I was a television meteorologist. I am a",llama-3.1-8B,-8.367439270019531,-6.859626770019531,-6.312751770019531
109,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","There are many similar pictures — I personally made a lot of them in the mountains — but with clear blue sky, or with natural clouds (I also worked for many years as a meteorologist at high mountain weather station, and am very familiar with the weather phenomenon).",simple,"There are many similar pictures — I personally made a lot of them in the mountains — but with clear blue sky, or with natural clouds (I also worked for many years as a meteorologist at high mountain weather station, and am very familiar with the weather phenomenon). I am a",llama-3.1-8B,-5.229790687561035,-7.971978187561035,-4.909478187561035
110,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",I am not your average meteorologist.,simple,I am not your average meteorologist. I am a,llama-3.1-8B,-4.804633140563965,-4.039008140563965,-4.617133140563965
111,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","For more than 20 years, I have been blessed to be your meteorologist.",simple,"For more than 20 years, I have been blessed to be your meteorologist. I am a",llama-3.1-8B,-6.269848823547363,-9.254223823547363,-7.176098823547363
112,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","From the very first time I crawled under my bed to hide from a thunderstorm, I knew exactly what I wanted to be - a broadcast meteorologist.",simple,"From the very first time I crawled under my bed to hide from a thunderstorm, I knew exactly what I wanted to be - a broadcast meteorologist. I am a",llama-3.1-8B,-7.093680381774902,-7.031180381774902,-6.062430381774902
113,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",Actually once I almost became a meteorologist in one of the polish TV stations.,simple,Actually once I almost became a meteorologist in one of the polish TV stations. I am a,llama-3.1-8B,-5.825992584228516,-6.021305084228516,-4.474430084228516
114,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","Now TV wasn’t ever a field I thought I would be a part of, but here was my chance to be a meteorologist…something I had always wanted to be.",simple,"Now TV wasn’t ever a field I thought I would be a part of, but here was my chance to be a meteorologist…something I had always wanted to be. I am a",llama-3.1-8B,-6.115754127502441,-6.561066627502441,-4.857941627502441
115,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']",My very first goal was to be a meteorologist on a local news station.,simple,My very first goal was to be a meteorologist on a local news station. I am a,llama-3.1-8B,-7.068997859954834,-6.045560359954834,-4.920560359954834
116,meteorologist,"['meteorologist', 'weatherman', 'weatherwoman']","For more than 20 years, I have been blessed to be your meteorologist.",simple,"For more than 20 years, I have been blessed to be your meteorologist. I am a",llama-3.1-8B,-6.269848823547363,-9.254223823547363,-7.176098823547363
